movie_id,year,platform,rating_count,meta_country,runtime_min,runtime_text,mean_rating,title,rating_distribution_1_to_5,genres,reviews_count,rating_distribution,url,meta
34939037,2022,Douban,163750,,,,6.6,利刃出鞘2 Glass Onion: A Knives Out Mystery,,Drama / Comedy / Crime / Mystery / Thriller,,,https://movie.douban.com/subject/34939037/,美国 / 剧情 / 喜剧 / 犯罪 / 悬疑 / 惊悚 / 利刃出鞘2：抽丝剥茧 / 玻璃洋葱：利刃出鞘疑案 / 140分钟
35231165,2020,Douban,324,,,,4.3,电影版 毛骨悚然撞鬼经 被诅咒的家 劇場版 ほんとうにあった怖い話2020～呪われた家～,,Drama / Thriller / Horror,,,https://movie.douban.com/subject/35231165/,日本 / 剧情 / 惊悚 / 恐怖 / 66分钟
24860563,2016,Douban,223775,,,,7.9,招魂2 The Conjuring 2,,Drama / Mystery / Horror,,,https://movie.douban.com/subject/24860563/,加拿大 / 美国 / 英国 / 剧情 / 悬疑 / 恐怖 / 诡屋惊凶实录2(港) / 厉阴宅2(台) / 134分钟
36829507,2025,Douban,70856,,,,7.6,坏蛋联盟2 The Bad Guys 2,,Comedy / Action / Crime / Animation / Mystery / Adventure,,,https://movie.douban.com/subject/36829507/,美国 / 喜剧 / 动作 / 犯罪 / 动画 / 悬疑 / 冒险 / 大坏蛋2 / 坏家伙2 / 104分钟
36340655,2024,Douban,14607,,,,7.1,二号陪审员 Juror #2,,Drama / Crime / Mystery / Thriller,,,https://movie.douban.com/subject/36340655/,美国 / 剧情 / 犯罪 / 悬疑 / 惊悚 / 114分钟
1293792,1986,Douban,196727,,,,8.1,异形2 Aliens,,Action / Sci-Fi / Thriller / Adventure,,,https://movie.douban.com/subject/1293792/,美国 / 动作 / 科幻 / 惊悚 / 冒险 / 异形Ⅱ / 异形续集 / 137分钟
36727829,2024,Douban,45476,,,,7.1,危笑2 Smile 2,,Mystery / Thriller / Horror,,,https://movie.douban.com/subject/36727829/,美国 / 加拿大 / 悬疑 / 惊悚 / 恐怖 / 夺命微笑2 / 微笑2(台) / 127分钟
1292506,1994,Douban,152610,,,,8.1,赌神2 賭神2,,Action / Comedy,,,https://movie.douban.com/subject/1292506/,中国香港 / 动作 / 喜剧 / God of Gamblers Return / God of Gamblers 2 / 126分钟
3066739,2010,Douban,454213,,,,7.7,钢铁侠2 Iron Man 2,,Action / Adventure / Sci-Fi,,,https://movie.douban.com/subject/3066739/,美国 / 动作 / 冒险 / 科幻 / 铁甲奇侠2(港) / 钢铁人2(台) / 124分钟
35883131,2024,Douban,210913,,,,8.5,雄狮少年2,,Comedy / Action / Animation,,,https://movie.douban.com/subject/35883131/,中国大陆 / 喜剧 / 动作 / 动画 / I Am What I Am 2 / 133分钟
26698897,2018,Douban,970746,,,,6.6,唐人街探案2,,Comedy / Action / Mystery,,,https://movie.douban.com/subject/26698897/,中国大陆 / 喜剧 / 动作 / 悬疑 / 唐探2 / Detective Chinatown Vol 2 / 121分钟
34795100,2023,Douban,149199,,,,7.9,网络谜踪2 Missing,,Drama / Thriller,,,https://movie.douban.com/subject/34795100/,美国 / 剧情 / 惊悚 / 人肉搜索2：失踪搜救(台) / 人肉搜寻2(港) / 111分钟
26340419,2017,Douban,292434,,,,8.0,帕丁顿熊2 Paddington 2,,Comedy / Animation / Family,,,https://movie.douban.com/subject/26340419/,英国 / 法国 / 美国 / 喜剧 / 动画 / 家庭 / 柏灵顿2(港) / 柏灵顿熊熊出任务(台) / 103分钟
30167997,2022,Douban,150383,,,,5.4,黑豹2 Black Panther: Wakanda Forever,,Drama / Action / Sci-Fi / Fantasy / Thriller / Adventure,,,https://movie.douban.com/subject/30167997/,美国 / 剧情 / 动作 / 科幻 / 奇幻 / 惊悚 / 冒险 / 黑豹：瓦坎达万岁 / 黑豹2：瓦干达万岁(港/台) / 161分钟
4218768,2012,Douban,284898,,,,6.1,画皮2 畫皮Ⅱ,,Drama / Romance / Fantasy / Thriller,,,https://movie.douban.com/subject/4218768/,中国大陆 / 剧情 / 爱情 / 奇幻 / 惊悚 / 转生术(台) / 画皮II / 135分钟
1307442,2003,Douban,168664,,,,7.5,速度与激情2 2 Fast 2 Furious,,Action / Crime,,,https://movie.douban.com/subject/1307442/,美国 / 德国 / 动作 / 犯罪 / 狂野极速(港) / 玩命关头2：飙风再起(台) / 107分钟
27133569,2019,Douban,85750,,,,6.5,小丑回魂2 It: Chapter Two,,Drama / Fantasy / Horror,,,https://movie.douban.com/subject/27133569/,加拿大 / 美国 / 剧情 / 奇幻 / 恐怖 / 它：第二章(台) / It 2 / 169分钟
1484760,2006,Douban,184798,,,,8.4,黑社会2：以和为贵 黑社會以和為貴,,Crime / Drama / Thriller,,,https://movie.douban.com/subject/1484760/,中国香港 / 犯罪 / 剧情 / 惊悚 / 黑社会2 / Election 2 / 92分钟
30382416,2021,Douban,209320,,,,5.1,毒液2 Venom: Let There Be Carnage,,Action / Sci-Fi / Thriller,,,https://movie.douban.com/subject/30382416/,美国 / 中国大陆 / 动作 / 科幻 / 惊悚 / 毒魔：血战大屠杀(港) / 猛毒2：血蜘蛛(台) / 97分钟
34832354,2022,Douban,56873,,,,6.2,魔女2  Part2. The Other One,,Action / Mystery,,,https://movie.douban.com/subject/34832354/,韩国 / 动作 / 悬疑 / 魔女二部曲：另一个她(台) / The Witch: Part 2 / 137分钟
35056376,2023,Douban,72124,,,,7.4,惊天营救2 Extraction 2,,Action / Thriller,,,https://movie.douban.com/subject/35056376/,美国 / 动作 / 惊悚 / 极限营救2 / 122分钟
1306951,1992,Douban,256067,,,,8.2,鹿鼎记2 鹿鼎記II 神龍教,,Comedy / Action / Chinese swordplay / Costume,,,https://movie.douban.com/subject/1306951/,中国香港 / 喜剧 / 动作 / 武侠 / 古装 / 鹿鼎记II：神龙教 / 鹿鼎记2：神龙教 / 98分钟
